DATE,MONTH,RainToday,RainTomorrow,BASEL_pressure,BASEL_humidity,BASEL_temp_mean,BASEL_sunshine,BASEL_pressure_lag1,BASEL_humidity_lag1,BASEL_temp_mean_lag1,BASEL_sunshine_lag1
2000-06-07,6,0,0,1.0237,0.65,15.7,11.4,1.0221,0.84,13.4,0.0
2000-06-08,6,0,1,1.0184,0.61,18.4,14.6,1.0237,0.65,15.7,11.4
2000-06-09,6,1,0,1.0133,0.6,22.9,14.0,1.0184,0.61,18.4,14.6
2000-06-10,6,0,0,1.0131,0.7,22.0,8.2,1.0133,0.6,22.9,14.0
2000-06-11,6,0,0,1.0166,0.84,17.7,0.0,1.0131,0.7,22.0,8.2
2000-06-12,6,0,1,1.0261,0.68,18.3,6.0,1.0166,0.84,17.7,0.0
2000-06-13,6,1,0,1.0243,0.69,20.6,7.5,1.0261,0.68,18.3,6.0
2000-06-14,6,0,1,1.0236,0.72,21.3,10.7,1.0243,0.69,20.6,7.5
2000-06-15,6,1,0,1.0244,0.65,20.8,7.4,1.0236,0.72,21.3,10.7
2000-06-16,6,0,0,1.0258,0.59,17.9,8.6,1.0244,0.65,20.8,7.4
2000-06-17,6,0,0,1.0277,0.61,16.9,14.8,1.0258,0.59,17.9,8.6
2000-06-18,6,0,0,1.026,0.5,19.7,15.3,1.0277,0.61,16.9,14.8
2000-06-19,6,0,0,1.0214,0.48,23.0,15.0,1.026,0.5,19.7,15.3
2000-06-20,6,0,0,1.0168,0.5,25.1,14.0,1.0214,0.48,23.0,15.0
2000-06-21,6,0,1,1.0166,0.5,24.6,14.1,1.0168,0.5,25.1,14.0
2000-06-22,6,1,0,1.02,0.75,18.7,2.9,1.0166,0.5,24.6,14.1
2000-06-23,6,0,1,1.0215,0.63,17.8,3.3,1.02,0.75,18.7,2.9
2000-06-24,6,1,0,1.0194,0.77,14.1,0.0,1.0215,0.63,17.8,3.3
2000-06-25,6,0,0,1.0207,0.69,13.7,1.4,1.0194,0.77,14.1,0.0
2000-06-26,6,0,0,1.0227,0.62,14.6,13.1,1.0207,0.69,13.7,1.4
